# power spectrum of delta
# redshift z=0.980902
# k              Pk             sigma(k)       sigma(Pk)      count
  4.359759e+00   1.054882e+01   3.897281e-03   3.844587e-02   81236
  4.373418e+00   1.058937e+01   3.880312e-03   3.896734e-02   79608
  4.387029e+00   1.040839e+01   3.933006e-03   3.843599e-02   80268
  4.400643e+00   1.044693e+01   3.850171e-03   3.876675e-02   78412
  4.414192e+00   1.036340e+01   3.922071e-03   3.847189e-02   78952
  4.427933e+00   1.036158e+01   3.938715e-03   3.830491e-02   79656
  4.441606e+00   1.042237e+01   3.881671e-03   3.903756e-02   77184
  4.455081e+00   1.031869e+01   3.897139e-03   3.835787e-02   76944
  4.468742e+00   1.034879e+01   3.934255e-03   3.835994e-02   77984
  4.482318e+00   1.036584e+01   3.887487e-03   3.939139e-02   75336
  4.495891e+00   1.033118e+01   3.967951e-03   3.848966e-02   77280
  4.509585e+00   1.022112e+01   3.911883e-03   3.812136e-02   75120
  4.523186e+00   1.017197e+01   4.006918e-03   3.784409e-02   76364
  4.536881e+00   1.017724e+01   3.870669e-03   3.867620e-02   74244
  4.550448e+00   1.011690e+01   4.007133e-03   3.844972e-02   74400
  4.563952e+00   1.013211e+01   3.919594e-03   3.858343e-02   73388
  4.577709e+00   1.001780e+01   3.981865e-03   3.782532e-02   74964
  4.591267e+00   9.905496e+00   3.838052e-03   3.833266e-02   71100
  4.604865e+00   9.924693e+00   3.984832e-03   3.767331e-02   74100
  4.618437e+00   1.000569e+01   3.839966e-03   3.902652e-02   70068
  4.631915e+00   9.888067e+00   3.927566e-03   3.809235e-02   72296
  4.645712e+00   9.894973e+00   3.920569e-03   3.799567e-02   71724
  4.659287e+00   9.913078e+00   3.930407e-03   3.872294e-02   69852
  4.672792e+00   9.930586e+00   3.886828e-03   3.827715e-02   69732
  4.686387e+00   9.883061e+00   3.918196e-03   3.857519e-02   69512
  4.699982e+00   9.801411e+00   3.922067e-03   3.820671e-02   69252
  4.713606e+00   9.830889e+00   3.871092e-03   3.881055e-02   68064
  4.727139e+00   9.770654e+00   3.988880e-03   3.868273e-02   67944
  4.740774e+00   9.767461e+00   3.945867e-03   3.824161e-02   68204
  4.754479e+00   9.742309e+00   3.902220e-03   3.864664e-02   66684
  4.767989e+00   9.798812e+00   3.962347e-03   3.925497e-02   66264
  4.781640e+00   9.722496e+00   3.928075e-03   3.869307e-02   66368
  4.795269e+00   9.718342e+00   3.954395e-03   3.933877e-02   65100
  4.808774e+00   9.661271e+00   3.896555e-03   3.907321e-02   64644
  4.822442e+00   9.649361e+00   3.926189e-03   3.882994e-02   64440
  4.835874e+00   9.590966e+00   3.906547e-03   3.975859e-02   62668
  4.849538e+00   9.645851e+00   3.941186e-03   3.856066e-02   64696
  4.863356e+00   9.580912e+00   3.937367e-03   3.933475e-02   62820
  4.876903e+00   9.504374e+00   3.924058e-03   3.936828e-02   61920
  4.890519e+00   9.562601e+00   3.892807e-03   3.968116e-02   61532
  4.903985e+00   9.557552e+00   3.879794e-03   4.013551e-02   59952
  4.917706e+00   9.695396e+00   4.001762e-03   3.989788e-02   62460
  4.931448e+00   9.480110e+00   3.882676e-03   4.019911e-02   58644
  4.944703e+00   9.475359e+00   3.891283e-03   4.044234e-02   58188
  4.958407e+00   9.454850e+00   3.945950e-03   3.989571e-02   60044
  4.972127e+00   9.466231e+00   3.952119e-03   4.033651e-02   57780
  4.985746e+00   9.537776e+00   3.974538e-03   4.075166e-02   58380
  4.999353e+00   9.503905e+00   3.828451e-03   4.138502e-02   55508
  5.012797e+00   9.559943e+00   3.995934e-03   4.113361e-02   56964
  5.026563e+00   9.476862e+00   3.869203e-03   4.076776e-02   56148
  5.040180e+00   9.460938e+00   3.936315e-03   4.141422e-02   54468
  5.053627e+00   9.403350e+00   3.966640e-03   4.117269e-02   54540
  5.067356e+00   9.312358e+00   3.927116e-03   4.099040e-02   54512
  5.080932e+00   9.397772e+00   3.890016e-03   4.220900e-02   52488
  5.094532e+00   9.452261e+00   3.948577e-03   4.184298e-02   53400
  5.108248e+00   9.366983e+00   3.977201e-03   4.203170e-02   51972
  5.121705e+00   9.339065e+00   3.889875e-03   4.296560e-02   50924
  5.135379e+00   9.432522e+00   3.876250e-03   4.298299e-02   51120
  5.148878e+00   9.450903e+00   3.938458e-03   4.373594e-02   49116
  5.162337e+00   9.329147e+00   3.939938e-03   4.234821e-02   49920
  5.176058e+00   9.398021e+00   3.882717e-03   4.388541e-02   48692
  5.189489e+00   9.340836e+00   3.893182e-03   4.404582e-02   47532
  5.203137e+00   9.379121e+00   3.925008e-03   4.416058e-02   48312
  5.216836e+00   9.488775e+00   3.962643e-03   4.592738e-02   46704
